node_id,name,bus,groups,group,group_labels,station_nc,jurisdiction,v_nom_kv,latitude,longitude,membership_count,source
25,Cordal,1311,"(9, 17, 23, 24, 25, 26, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-7|IE-SW-8|IE-ALL,CORDAL,IE,110.0,52.2145657,-9.2855811,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
26,Corderry,1631,"(3, 4, 5, 7, 8, 9, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,CORDERRY,IE,110.0,54.1988681,-8.197639,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
27,Crane,1841,"(30, 33, 40)",30,IE-SE-1|IE-SE-4|IE-ALL,CRANE,IE,110.0,52.5323772,-6.5144397,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
28,Crory,36411,"(30, 33, 40)",30,IE-SE-1|IE-SE-4|IE-ALL,CRORY,IE,110.0,52.579165,-6.5358105,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
29,Cunghill,1931,"(3, 4, 5, 8, 9, 13, 15, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-W-6|IE-W-8|IE-ALL,CUNGHILL,IE,110.0,54.1111523,-8.6491987,8,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
30,Dallow,2241,"(8, 9, 40)",8,IE-W-1|IE-W-2|IE-ALL,DALLOW,IE,110.0,53.1259869,-7.928076,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
31,Dalton,2281,"(4, 8, 9, 13, 40)",4,IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-ALL,DALTON_A1,IE,110.0,53.8665266,-9.2692746,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
32,Derrybrien,2231,"(8, 9, 17, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-ALL,DERRYBRIEN,IE,110.0,53.0367354,-8.5499195,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
33,Dromada,2131,"(9, 17, 25, 40)",9,IE-W-2|IE-SW-1|IE-SW-7|IE-ALL,DROMADA,IE,110.0,52.4434711,-9.2344983,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
34,Dunmanway,2221,"(9, 17, 23, 26, 31, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,DUNMANWAY,IE,110.0,51.7232312,-9.0897487,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
35,Gallanstown,2791,"(35, 40)",35,IE-NE-2|IE-ALL,GALLANSTOWN,IE,110.0,53.450696,-6.3653809,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
36,Garballagh,2691,"(35, 40)",35,IE-NE-2|IE-ALL,GARBALLAGH,IE,110.0,53.6572305,-6.4586834,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
