temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.06409335006414554,8.561540814049154,8.561540814049154,7,0.7,0,21
2,0.06345241656350409,8.561669706864084,8.561540814049154,10,1.0,0,31
3,0.06281789239786904,8.561669706864084,8.561540814049154,9,0.9,0,41
4,0.06218971347389035,8.561669706864084,8.561540814049154,9,0.9,0,51
5,0.06156781633915145,8.435659975285605,8.43080904961448,9,0.9,1,61
6,0.06095213817575993,8.435659975285605,8.43080904961448,8,0.8,0,71
7,0.06034261679400233,8.437862290377867,8.43080904961448,6,0.6,0,81
8,0.059739190626062304,8.443873811387787,8.43080904961448,8,0.8,0,91
9,0.05914179871980168,8.471986991113026,8.43080904961448,10,1.0,0,101
10,0.058550380732603664,8.473373460625536,8.43080904961448,8,0.8,0,111
11,0.057964876925277624,8.44481928680818,8.43080904961448,9,0.9,0,121
12,0.05738522815602485,8.444131626358423,8.43080904961448,8,0.8,0,131
13,0.0568113758744646,8.455451454856021,8.43080904961448,8,0.8,0,141
14,0.05624326211571996,8.448637509861049,8.43080904961448,8,0.8,0,151
15,0.05568082949456276,8.44901038094744,8.43080904961448,8,0.8,0,161
16,0.05512402119961713,8.448969568974894,8.43080904961448,9,0.9,0,171
17,0.05457278098762096,8.448808768623184,8.43080904961448,9,0.9,0,181
18,0.05402705317774475,8.445056948213907,8.43080904961448,8,0.8,0,191
19,0.0534867826459673,8.4153332770809,8.4153332770809,8,0.8,1,201
20,0.052951914819507624,8.421478032925172,8.4153332770809,8,0.8,0,211
21,0.05242239567131255,8.419583947638424,8.4153332770809,8,0.8,0,221
22,0.05189817171459943,8.41907943314744,8.4153332770809,8,0.8,0,231
23,0.05137918999745343,8.420432918463572,8.4153332770809,10,1.0,0,241
24,0.0508653980974789,8.391428321813201,8.388428297831847,10,1.0,2,251
25,0.05035674411650411,8.392628989312273,8.388428297831847,8,0.8,0,261
26,0.04985317667533907,8.391847638023238,8.388428297831847,10,1.0,0,271
27,0.049354644908585675,8.391469667159491,8.388428297831847,9,0.9,0,281
28,0.04886109845949982,8.391546149391433,8.388428297831847,9,0.9,0,291
29,0.04837248747490482,8.390786041392825,8.388428297831847,10,1.0,0,301
30,0.047888762600155774,8.388711344951206,8.388428297831847,4,0.4,0,311
31,0.04740987497415421,8.384926711793577,8.384926711793577,9,0.9,1,321
32,0.04693577622441267,8.380171963051811,8.380171963051811,10,1.0,1,331
33,0.04646641846216854,8.381329393067594,8.380171963051811,8,0.8,0,341
34,0.04600175427754686,8.386357519203848,8.380171963051811,8,0.8,0,351
35,0.04554173673477139,8.386636749781276,8.380171963051811,10,1.0,0,361
36,0.045086319367423675,8.385659697487961,8.380171963051811,10,1.0,0,371
37,0.044635456173749435,8.385659697487961,8.380171963051811,7,0.7,0,381
38,0.04418910161201194,8.385659697487961,8.380171963051811,9,0.9,0,391
39,0.043747210595891824,8.385130658170672,8.380171963051811,8,0.8,0,401
40,0.04330973848993291,8.385130658170672,8.380171963051811,10,1.0,0,411
41,0.04287664110503358,8.385296820345449,8.380171963051811,9,0.9,0,421
42,0.04244787469398324,8.386561211831909,8.380171963051811,5,0.5,0,431
43,0.04202339594704341,8.386561211831909,8.380171963051811,9,0.9,0,441
44,0.041603161987572974,8.388162914865939,8.380171963051811,10,1.0,0,451
45,0.04118713036769724,8.392290430029691,8.380171963051811,10,1.0,0,461
46,0.04077525906402027,8.387244761315339,8.380171963051811,7,0.7,0,471
47,0.04036750647338007,8.372377471412419,8.372377471412419,9,0.9,2,481
48,0.03996383140864627,8.372363859417085,8.372363859417085,9,0.9,1,491
49,0.0395641930945598,8.372363859417085,8.372363859417085,9,0.9,0,501
50,0.0391685511636142,8.372363859417085,8.372363859417085,7,0.7,0,511
51,0.03877686565197806,8.372363859417085,8.372363859417085,6,0.6,0,521
52,0.03838909699545828,8.32879567465388,8.32879567465388,9,0.9,1,531
53,0.0380052060255037,8.328848967339766,8.328789670306342,9,0.9,1,541
54,0.03762515396524867,8.328848967339766,8.328789670306342,7,0.7,0,551
55,0.03724890242559618,8.32803759372606,8.32803759372606,7,0.7,2,561
56,0.036876413401340215,8.32832439567186,8.32803759372606,9,0.9,0,571
57,0.03650764926732681,8.328503608986482,8.32803759372606,9,0.9,0,581
58,0.03614257277465354,8.339196794023302,8.32803759372606,10,1.0,0,591
59,0.035781147046907005,8.35258049614185,8.32803759372606,7,0.7,0,601
60,0.03542333557643793,8.352101185472785,8.32803759372606,9,0.9,0,611
61,0.035069102220673554,8.351195996405302,8.32803759372606,8,0.8,0,621
62,0.03471841119846682,8.31433014343979,8.31433014343979,10,1.0,2,631
63,0.034371227086482145,8.31438862546965,8.314220072035537,10,1.0,1,641
64,0.034027514815617325,8.317079375214258,8.314220072035537,8,0.8,0,651
65,0.03368723966746115,8.308431640875115,8.308431640875115,9,0.9,2,661
66,0.03335036727078654,8.308437908419151,8.308431640875115,9,0.9,0,671
67,0.03301686359807867,8.308447528208077,8.308431640875115,7,0.7,0,681
68,0.03268669496209788,8.309434806822143,8.308094404674174,9,0.9,2,691
69,0.0323598280124769,8.312828110060698,8.308094404674174,9,0.9,0,701
70,0.03203622973235213,8.313150236207509,8.308094404674174,8,0.8,0,711
71,0.031715867435028605,8.312298182478793,8.308094404674174,8,0.8,0,721
72,0.031398708760678316,8.312298182478793,8.308094404674174,9,0.9,0,731
73,0.03108472167307153,8.312200190267898,8.308094404674174,9,0.9,0,741
74,0.030773874456340816,8.310386756449434,8.308094404674174,8,0.8,0,751
75,0.030466135711777406,8.306921949815797,8.30629794873516,9,0.9,2,761
76,0.030161474354659632,8.093093493461517,8.093093493461517,9,0.9,2,771
77,0.029859859611113034,8.090243885094049,8.090243885094049,10,1.0,2,781
78,0.029561261015001904,8.088376155916878,8.088376155916878,9,0.9,1,791
79,0.029265648404851886,8.0842378597228,8.0842378597228,9,0.9,2,801
80,0.028972991920803368,8.077253494561509,8.077253494561509,9,0.9,1,811
81,0.028683262001595333,8.077020710120872,8.077020710120872,7,0.7,1,821
82,0.02839642938157938,8.07770810551832,8.077020710120872,9,0.9,0,831
83,0.028112465087763584,8.077784716060872,8.077020710120872,10,1.0,0,841
84,0.027831340436885947,8.078130013160033,8.077020710120872,9,0.9,0,851
85,0.027553027032517087,8.078661881296215,8.077020710120872,10,1.0,0,861
86,0.027277496762191916,8.078533704581726,8.077020710120872,9,0.9,0,871
87,0.027004721794569995,8.07941842275737,8.077020710120872,9,0.9,0,881
88,0.026734674576624297,8.080321268712407,8.077020710120872,8,0.8,0,891
89,0.026467327830858055,8.08053060919167,8.077020710120872,9,0.9,0,901
90,0.026202654552549474,8.079228548971322,8.077020710120872,10,1.0,0,911
91,0.02594062800702398,8.079163331045704,8.077020710120872,8,0.8,0,921
92,0.025681221726953737,8.079260697220947,8.077020710120872,9,0.9,0,931
93,0.0254244095096842,8.078888312616304,8.077020710120872,10,1.0,0,941
94,0.02517016541458736,8.079348148810274,8.077020710120872,10,1.0,0,951
95,0.024918463760441486,8.095498046842952,8.077020710120872,8,0.8,0,961
96,0.02466927912283707,8.119084467697183,8.077020710120872,10,1.0,0,971
97,0.0244225863316087,8.107577189776991,8.077020710120872,7,0.7,0,981
98,0.024178360468292612,8.11310614080792,8.077020710120872,8,0.8,0,991
99,0.023936576863609685,8.106785356686975,8.077020710120872,9,0.9,0,1001
100,0.023697211094973587,8.107331907766635,8.077020710120872,10,1.0,0,1011
101,0.02346023898402385,8.096043072291554,8.077020710120872,8,0.8,0,1021
102,0.02322563659418361,8.08837939245353,8.077020710120872,8,0.8,0,1031
103,0.022993380228241773,8.084746746615968,8.077020710120872,9,0.9,0,1041
104,0.022763446425959354,8.082490159361786,8.077020710120872,10,1.0,0,1051
105,0.02253581196169976,8.082851402730071,8.077020710120872,10,1.0,0,1061
106,0.022310453842082762,8.083925799442358,8.077020710120872,10,1.0,0,1071
107,0.022087349303661935,8.085227981549407,8.077020710120872,10,1.0,0,1081
108,0.021866475810625317,8.081358933783424,8.077020710120872,9,0.9,0,1091
109,0.021647811052519065,8.082556386999158,8.077020710120872,9,0.9,0,1101
110,0.021431332941993873,8.087915512676862,8.077020710120872,7,0.7,0,1111
111,0.021217019612573933,8.087915512676862,8.077020710120872,10,1.0,0,1121
112,0.021004849416448194,8.087965470476009,8.077020710120872,8,0.8,0,1131
113,0.020794800922283713,8.091722713516742,8.077020710120872,9,0.9,0,1141
114,0.020586852913060876,8.090333617406191,8.077020710120872,8,0.8,0,1151
115,0.020380984383930267,8.090419033694273,8.077020710120872,8,0.8,0,1161
116,0.020177174540090964,8.090464962108122,8.077020710120872,9,0.9,0,1171
117,0.019975402794690053,8.09020112179002,8.077020710120872,9,0.9,0,1181
118,0.01977564876674315,8.089549004409735,8.077020710120872,9,0.9,0,1191
119,0.01957789227907572,8.089464611929458,8.077020710120872,9,0.9,0,1201
120,0.019382113356284963,8.09026370708602,8.077020710120872,8,0.8,0,1211
121,0.019188292222722114,8.098581832270833,8.077020710120872,10,1.0,0,1221
122,0.01899640930049489,8.099065855958507,8.077020710120872,9,0.9,0,1231
123,0.018806445207489943,8.097145845214332,8.077020710120872,9,0.9,0,1241
124,0.018618380755415043,8.094645776198137,8.077020710120872,8,0.8,0,1251
125,0.018432196947860892,8.094436375520806,8.077020710120872,9,0.9,0,1261
126,0.018247874978382282,8.094471613362296,8.077020710120872,9,0.9,0,1271
127,0.01806539622859846,8.09086336358963,8.077020710120872,9,0.9,0,1281
128,0.017884742266312474,8.090240509733668,8.077020710120872,7,0.7,0,1291
129,0.017705894843649348,8.089956517633444,8.077020710120872,9,0.9,0,1301
