osm_type,osm_id,osm_name,osm_name_normalised,osm_lat,osm_lon,osm_voltage,osm_substation,osm_operator,osm_ref,osm_location,osm_url
node,12245035255,Preskilly Terrace Substation,preskilly terrace substation,51.8798277,-5.2680569,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035255
node,12245035257,Goat St Substation,goat st substation,51.8807859,-5.2694207,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035257
node,12245035304,The Cross St Davids Substation,the cross st davids substation,51.8812038,-5.2645733,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035304
node,12245035322,Oakley St Substation,oakley st substation,51.8834294,-5.2634206,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035322
node,12245035357,Heol Dewi St Davids Substation,heol dewi st davids substation,51.8843156,-5.2602136,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035357
node,12245035366,Glasfryn Road Substation,glasfryn road substation,51.8845776,-5.2575087,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035366
node,12245035367,St Davids Assemblies Substation,st davids assemblies substation,51.8847822,-5.2559782,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035367
node,12245035404,Hawksfield Court Substation,hawksfield court substation,51.8819833,-5.254852,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12245035404
node,12292554376,Cuckoo Grove Solar Farm Substation,cuckoo grove solar farm substation,51.8096545,-5.0071022,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292554376
node,12292554831,Brookfield Close Keeston Substation,brookfield close keeston substation,51.8319786,-5.0482697,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292554831
node,12292555042,Castle View Simpsons Cross Substation,castle view simpsons cross substation,51.8343901,-5.0619463,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292555042
node,12292556125,East Blockhouse Angle Substation,east blockhouse angle substation,51.6817834,-5.1190089,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292556125
node,12292556166,West Pill Angle Substation,west pill angle substation,51.6892669,-5.1074981,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292556166
node,12292559396,Waterston Wind Turbine Substation,waterston wind turbine substation,51.7156249,-5.0065655,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559396
node,12292559433,Blackbridge Milford Haven Substation,blackbridge milford haven substation,51.7139524,-5.0150629,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559433
node,12292559482,Lower Scoverston Wind Turbine Substation,lower scoverston wind turbine substation,51.7193305,-5.0035026,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559482
node,12292559491,Scoveston Stern Wind Turbine Scoveston P Substation,scoveston stern wind turbine scoveston p substation,51.7216252,-5.0001352,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559491
node,12292559495,Scoveston Park Farm Wind Turbine Substation,scoveston park farm wind turbine substation,51.7227714,-5.0026166,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559495
node,12292559517,Castle Pill Farm Wind Turbine Substation,castle pill farm wind turbine substation,51.7239724,-5.0074957,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559517
node,12292559565,Harmeston Farmturbine Substation,harmeston farmturbine substation,51.7442851,-5.0122083,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292559565
node,12292560097,Bolton Hill Quarry Supply No2 Substation,bolton hill quarry supply no2 substation,51.7649657,-5.0171501,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560097
node,12292560141,Bolton Hill Water Process Substation,bolton hill water process substation,51.7600859,-5.0155321,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560141
node,12292560149,Bolton Hill Substation,bolton hill substation,51.7631036,-5.0218944,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560149
node,12292560217,Second Turbine Lawrence Landfill Site Substation,second turbine lawrence landfill site substation,51.7748717,-5.0023279,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560217
node,12292560310,Welsh Water Garage Portfield Gate Substation,welsh water garage portfield gate substation,51.7987029,-5.0166545,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560310
node,12292560592,Ruther Park Haverfordwest Substation,ruther park haverfordwest substation,51.7987227,-5.001436,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292560592
node,12292561289,Herbrandston Village Substation,herbrandston village substation,51.7263492,-5.0864161,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561289
