name,psse_name,station,v_nom,search_name,candidate_rank,text_score,combined_score,voltage_match,review_status,osm_name,osm_lon,osm_lat,osm_voltage,osm_substation,osm_operator,osm_ref,osm_type,osm_id,osm_url,x,y,geocode_method,reason,search_name_normalised,osm_location
14720,NISA BELCAMP,NISA BELCAMP,220.0,NISA BELCAMP,3,51.4,51.4,False,weak match,MVP-1,-8.5700637,52.6735236,10000,industrial,ESB Networks,MVP-1,way,1436546067,https://www.openstreetmap.org/way/1436546067,0.0,0.0,,"coordinates are (0, 0)",nisa belcamp,indoor
14720,NISA BELCAMP,NISA BELCAMP,220.0,NISA BELCAMP,4,51.4,51.4,False,weak match,MVP-5,-8.572201,52.6734253,10000,industrial,ESB Networks,MVP-5,way,1436546068,https://www.openstreetmap.org/way/1436546068,0.0,0.0,,"coordinates are (0, 0)",nisa belcamp,indoor
14720,NISA BELCAMP,NISA BELCAMP,220.0,NISA BELCAMP,5,49.1,49.1,False,weak match,Novartis,-8.3436362,51.8270663,38000,industrial,ESB Networks,,way,339515165,https://www.openstreetmap.org/way/339515165,0.0,0.0,,"coordinates are (0, 0)",nisa belcamp,
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,DUBLIN ARRAY,1,85.5,85.5,False,good name match - check voltage,Dublin Landings BL 3,-6.233624,53.3484911,10000,distribution,ESB Networks,0684271,node,10120757415,https://www.openstreetmap.org/node/10120757415,0.0,0.0,,"coordinates are (0, 0)",dublin array,
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,DUBLIN ARRAY,2,85.5,85.5,False,good name match - check voltage,Dublin Landings BL 4,-6.2343587,53.3485369,10000,distribution,ESB Networks,,node,10120757416,https://www.openstreetmap.org/node/10120757416,0.0,0.0,,"coordinates are (0, 0)",dublin array,
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,DUBLIN ARRAY,3,60.0,60.0,False,possible candidate - manual review,Ballinacurra 38 kV Substation,-8.6366225,52.6492816,38000,distribution,ESB Networks,,way,429440292,https://www.openstreetmap.org/way/429440292,0.0,0.0,,"coordinates are (0, 0)",dublin array,
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,DUBLIN ARRAY,4,60.0,60.0,False,possible candidate - manual review,Drumlins Park Wind Farm 110 kV Substation,-7.1528216,54.1252631,110000;33000,generation,EirGrid,,way,1231184266,https://www.openstreetmap.org/way/1231184266,0.0,0.0,,"coordinates are (0, 0)",dublin array,
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,DUBLIN ARRAY,5,57.0,57.0,False,possible candidate - manual review,MAIN SUB,-8.5767368,52.6803697,10000,minor_distribution,,MVN-1,way,1423994120,https://www.openstreetmap.org/way/1423994120,0.0,0.0,,"coordinates are (0, 0)",dublin array,
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,BALLYNADRIDE,1,73.6,73.6,False,possible candidate - manual review,Ballycadden 20kV Substation,-6.5240436,52.6435181,20000,generation,ESB Networks,,way,798510028,https://www.openstreetmap.org/way/798510028,0.0,0.0,,"coordinates are (0, 0)",ballynadride,
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,BALLYNADRIDE,2,72.0,72.0,False,possible candidate - manual review,Ballyard 38 kV Substation,-9.7037918,52.2565709,38000,distribution,ESB Networks,,way,209985873,https://www.openstreetmap.org/way/209985873,0.0,0.0,,"coordinates are (0, 0)",ballynadride,
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,BALLYNADRIDE,3,68.6,78.6,True,possible candidate - voltage agrees,Ballydine 110kV Substation,-7.5207213,52.361399,110000;38000;10000,transmission,EirGrid,,way,172572963,https://www.openstreetmap.org/way/172572963,0.0,0.0,,"coordinates are (0, 0)",ballynadride,
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,BALLYNADRIDE,4,68.6,78.6,True,possible candidate - voltage agrees,Ballynahinch Main 110 kV Substation,-5.8782828,54.3907852,110000,transmission,NIE Networks,10000864,way,166809466,https://www.openstreetmap.org/way/166809466,0.0,0.0,,"coordinates are (0, 0)",ballynadride,
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,BALLYNADRIDE,5,68.6,68.6,False,possible candidate - manual review,Ballynahinch North 33 kV Substation,-5.9012116,54.4058388,33000,distribution,NIE Networks,10000624,way,1040663430,https://www.openstreetmap.org/way/1040663430,0.0,0.0,,"coordinates are (0, 0)",ballynadride,
2061,CASTLETREASU,CASTLETREASU,110.0,CASTLETREASU,1,77.1,77.1,False,possible candidate - manual review,Castlerea 38 kV Substation,-8.4533352,53.7575799,38000,distribution,ESB Networks,,way,223301305,https://www.openstreetmap.org/way/223301305,0.0,0.0,,"coordinates are (0, 0)",castletreasu,
2061,CASTLETREASU,CASTLETREASU,110.0,CASTLETREASU,2,77.1,77.1,False,possible candidate - manual review,Castlereagh 275kV Substation,-5.8784287,54.5629404,275000,transmission,NIE Networks,,way,148266260,https://www.openstreetmap.org/way/148266260,0.0,0.0,,"coordinates are (0, 0)",castletreasu,
2061,CASTLETREASU,CASTLETREASU,110.0,CASTLETREASU,3,72.0,72.0,False,possible candidate - manual review,CASTLETROY SEW KIOSK,-8.5808402,52.6749835,10000,,ESB Networks,067289 Z,node,13120247042,https://www.openstreetmap.org/node/13120247042,0.0,0.0,,"coordinates are (0, 0)",castletreasu,
2061,CASTLETREASU,CASTLETREASU,110.0,CASTLETREASU,4,72.0,72.0,False,possible candidate - manual review,Castletroy 38kV Substation,-8.5563319,52.6764798,38000,distribution,ESB Networks,,way,260160152,https://www.openstreetmap.org/way/260160152,0.0,0.0,,"coordinates are (0, 0)",castletreasu,
2061,CASTLETREASU,CASTLETREASU,110.0,CASTLETREASU,5,67.5,77.5,True,possible candidate - voltage agrees,Grange Castle East 110kV Cable Compound,-6.4332542,53.3283584,110000,transition,EirGrid,,way,98792229,https://www.openstreetmap.org/way/98792229,0.0,0.0,,"coordinates are (0, 0)",castletreasu,
22861,DALT_CAP,DALT,110.0,DALT,1,90.0,100.0,True,strong candidate,Dalton 110kV Substation,-8.9814054,53.7200541,110000;38000;20000,transmission,EirGrid,,way,201208741,https://www.openstreetmap.org/way/201208741,0.0,0.0,,"coordinates are (0, 0)",dalt,
