name,psse_name,station,v_nom,x,y,geocode_method,reason,osm_found,osm_lon,osm_lat,osm_display_name,osm_type,osm_category,osm_id,osm_url,review_status
2191,DONORE,DONORE,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.4167748,53.6923216,"Donore, The Municipal District of Laytown — Bettystown, County Meath, Leinster, Éire / Ireland",village,place,14612741.0,https://www.openstreetmap.org/relation/14612741,candidate
2211,DENNISTOWN,DENNISTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5108957,52.279819,"Dennistown, Rathaspick ED, The Borough District of Wexford, County Wexford, Leinster, Éire / Ireland",administrative,boundary,4150646.0,https://www.openstreetmap.org/relation/4150646,candidate
2231,DERRYBRIEN,DERRYBRIEN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.6129859,53.0659806,"Derrybrien, Derrylaur ED, Loughrea Municipal District, County Galway, Connacht, Éire / Ireland",hamlet,place,52252705.0,https://www.openstreetmap.org/node/52252705,candidate
2271,DERRYLAHAN,DERRYLAHAN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-10.0159501,53.5640938,"Derrylahan, Conamara Municipal District, County Galway, Connacht, Éire / Ireland",peak,natural,9911354549.0,https://www.openstreetmap.org/node/9911354549,candidate
2281,DALTON_A1,DALTON_A1,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.9998398,53.2892695,"Dalton House, The Meadows, Ballybrit, Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland",residential,highway,208356605.0,https://www.openstreetmap.org/way/208356605,candidate
22811,DALTON_A2,DALTON_A2,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.9998398,53.2892695,"Dalton House, The Meadows, Ballybrit, Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland",residential,highway,208356605.0,https://www.openstreetmap.org/way/208356605,candidate
22861,DALT_CAP,DALT,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
23019,DUNFIR_T,DUNFIR_T,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2312,DERRYGREENAG,DERRYGREENAG,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2331,FERRY VIEW,FERRY VIEW,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.3225656,51.8290835,"Ferry View, Carrigaline ED, Municipal District of Carrigaline, County Cork, Munster, Éire / Ireland",residential,highway,29413711.0,https://www.openstreetmap.org/way/29413711,candidate
2341,CAHERHURLY,CAHERHURLY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.5569332,52.8666858,"Caherhurly, Caherhurley ED, Killaloe Municipal District, County Clare, Munster, Éire / Ireland",administrative,boundary,6226637.0,https://www.openstreetmap.org/relation/6226637,candidate
2351,EFFERNOGE,EFFERNOGE,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.4746545,52.5697993,"Effernoge, Tinnacross ED, The Municipal District of Gorey — Kilmuckridge, County Wexford, Leinster, Éire / Ireland",administrative,boundary,2564868.0,https://www.openstreetmap.org/relation/2564868,candidate
2441,BELLEWSTOWN,BELLEWSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.3486621,53.6454553,"Bellewstown, The Municipal District of Ashbourne, County Meath, Leinster, Éire / Ireland",village,place,52218266.0,https://www.openstreetmap.org/node/52218266,candidate
2481,FASS EAST,FASS EAST,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
24819,FASSAROE_T,FASSAROE_T,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.1448776,53.1964419,"Fassaroe, Ballywaltrim, Kilmacanoge ED, The Municipal District of Bray, County Wicklow, Leinster, Éire / Ireland",administrative,boundary,3908578.0,https://www.openstreetmap.org/relation/3908578,candidate
2491,FASS WEST,FASS WEST,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2541,FRN ST A,FRN ST A,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2551,FRN ST B,FRN ST B,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2581,FINGLAS B5,FINGLAS B5,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.296944,53.389167,"Finglas, Ballygall A Ward 1986, Dublin, County Dublin, Leinster, Éire / Ireland",suburb,place,52242583.0,https://www.openstreetmap.org/node/52242583,candidate
2601,FIRLOUGH,FIRLOUGH,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2641,GRAHOMICK,GRAHOMICK,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2651,GARRINTAGGAR,GARRINTAGGAR,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2661,AGHALEAGUE,AGHALEAGUE,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.3555927,54.2553325,"Aghaleague, Ballina Municipal District, County Mayo, Connacht, Éire / Ireland",peak,natural,332373528.0,https://www.openstreetmap.org/node/332373528,candidate
2712,GLANSILLAGH,GLANSILLAGH,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.431927,52.5593413,"Glansillagh, Tarmon ED, Listowel Municipal District, County Kerry, Munster, Éire / Ireland",administrative,boundary,6266585.0,https://www.openstreetmap.org/relation/6266585,candidate
27219,GRFRAT T,GRFRAT,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
27460,GI_OFFSHORE,GI_OFFSHORE,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
2892,GLENCLOOSAGH,GLENCLOOSAGH,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.4087297,52.5835192,"Glencloosagh Bay, Tarbert ED, Listowel Municipal District, County Kerry, Munster, Éire / Ireland",bay,natural,2000679979.0,https://www.openstreetmap.org/node/2000679979,candidate
2921,HARRISTOWN,HARRISTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.2902279,53.4226692,"Harristown, Saint Margaret’s, Dubber DED 1986, Fingal, County Dublin, Leinster, Éire / Ireland",administrative,boundary,5436202.0,https://www.openstreetmap.org/relation/5436202,candidate
2931,WALTERSTOWN,WALTERSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5540602,53.611343,"Walterstown, The Municipal District of Ashbourne, County Meath, Leinster, Éire / Ireland",village,place,52230629.0,https://www.openstreetmap.org/node/52230629,candidate
2972,HUNTSTOWN 2,HUNTSTOWN 2,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.407808,53.4013346,"2, Huntstown Park, Huntstown, Blanchardstown-Blakestown DED 1986, Mulhuddart, Fingal, County Dublin, Leinster, Éire / Ireland",house,building,958813496.0,https://www.openstreetmap.org/way/958813496,candidate
