point_name,point_type,connection_level,max_export_capacity_mw,latitude,longitude,mapped_bus,mapped_bus_kv,mapping_distance_km,mapping_quality,market_bucket,semo_dispatch_join_candidate
Church Hill Wind Farm,Wind farm,Distribution - 33 kV,18.4,54.654753,-7.718309,77210,110.0,17.357855214912846,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Crighshane Wind Farm,Wind farm,Distribution - 33 kV,32.2,54.642407,-7.79754,77210,110.0,21.389763050926017,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Carrickatane Wind Farm,Wind farm,Distribution - 33 kV,20.7,54.913525,-7.331023,81810,110.0,3.805755730866178,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Carn Hill Wind Farm,Wind farm,Distribution - 33 kV,13.8,54.722684,-5.918238,74011,110.0,4.587859438475209,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Dunmore Wind Farm,Wind farm,Distribution - 33 kV,21.0,55.097433,-6.820452,75010,110.0,8.568688794601568,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Dunbeg Wind Farm,Wind farm,Distribution - 33 kV,42.0,55.086762,-6.818699,75010,110.0,8.725546842995671,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Thornog Wind Farm,Wind farm,Distribution - 33 kV,20.0,54.589279,-7.621001,77210,110.0,8.820744421834709,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Molly Mountain Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.197944,-7.636499,70010,110.0,5.150098903037242,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Lisahally Power Station (Biomass),Biomass generation,Distribution - 33 kV,17.6,55.041605,-7.254462,75510,110.0,0.468651365029496,high,biomass,Yes for applicable dispatchable units; unit-name mapping required
Monnaboy Wind Farm,Wind farm,Distribution - 33 kV,12.0,54.984899,-7.109227,75510,110.0,10.877499629943813,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Seegronan Wind Farm,Wind farm,Distribution - 33 kV,14.1,54.651116,-7.696645,77210,110.0,15.95590488152317,low,wind,Yes for applicable dispatchable units; unit-name mapping required
