name,psse_name,station,v_nom,x,y,geocode_method,reason
3511,LICKNY,LICKNY,110.0,0.0,0.0,,"coordinates are (0, 0)"
3550,COOLNABACKY_,COOLNABACKY_,110.0,0.0,0.0,,"coordinates are (0, 0)"
3551,COOLNABACKY,COOLNABACKY,110.0,0.0,0.0,,"coordinates are (0, 0)"
3554,COOLNABACKY,COOLNABACKY,380.0,0.0,0.0,,"coordinates are (0, 0)"
3601,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)"
3611,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)"
3631,FREAGH,FREAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
3691,LAGHTANVACK,LAGHTANVACK,110.0,0.0,0.0,,"coordinates are (0, 0)"
3841,MAYNOOTH A,MAYNOOTH A,110.0,0.0,0.0,,"coordinates are (0, 0)"
3842,MAYNOOTH A,MAYNOOTH A,220.0,0.0,0.0,,"coordinates are (0, 0)"
3851,MAYNOOTH B,MAYNOOTH B,110.0,0.0,0.0,,"coordinates are (0, 0)"
3852,MAYNOOTH B,MAYNOOTH B,220.0,0.0,0.0,,"coordinates are (0, 0)"
3911,METRO AIRPOR,METRO AIRPOR,110.0,0.0,0.0,,"coordinates are (0, 0)"
3921,METRO NORTH,METRO NORTH,110.0,0.0,0.0,,"coordinates are (0, 0)"
39420,W_SKERD ROCK,SKERD ROCK,220.0,0.0,0.0,,"coordinates are (0, 0)"
39444,MPTSERIESCAP,MPTSERIESCAP,380.0,0.0,0.0,,"coordinates are (0, 0)"
3981,MUNGRET A,MUNGRET A,110.0,0.0,0.0,,"coordinates are (0, 0)"
3991,MUNGRET B,MUNGRET B,110.0,0.0,0.0,,"coordinates are (0, 0)"
4012,MOORETOWN,MOORETOWN,220.0,0.0,0.0,,"coordinates are (0, 0)"
4121,MULGEETH,MULGEETH,110.0,0.0,0.0,,"coordinates are (0, 0)"
4321,OAKLANDS,OAKLANDS,110.0,0.0,0.0,,"coordinates are (0, 0)"
4341,OLDCOURT,OLDCOURT,110.0,0.0,0.0,,"coordinates are (0, 0)"
4351,OLDCOURT,OLDCOURT,110.0,0.0,0.0,,"coordinates are (0, 0)"
43619,OUTAGH T,OUTAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
43844,OLDSERIESCAP,OLDSERIESCAP,380.0,0.0,0.0,,"coordinates are (0, 0)"
4451,POLLAHONEY,POLLAHONEY,110.0,0.0,0.0,,"coordinates are (0, 0)"
4461,POOLBEG,POOLBEG,110.0,0.0,0.0,,"coordinates are (0, 0)"
4462,POOLBEG NORT,POOLBEG NORT,220.0,0.0,0.0,,"coordinates are (0, 0)"
44661,PBEG REACTOR,PBEG REACTOR,220.0,0.0,0.0,,"coordinates are (0, 0)"
44662,PBEG REACTOR,PBEG REACTOR,220.0,0.0,0.0,,"coordinates are (0, 0)"
4471,POOLBEG,POOLBEG,110.0,0.0,0.0,,"coordinates are (0, 0)"
4472,POOLBEG SOUT,POOLBEG SOUT,220.0,0.0,0.0,,"coordinates are (0, 0)"
44731,CODLING 1,CODLING 1,220.0,0.0,0.0,,"coordinates are (0, 0)"
44732,CODLING 2,CODLING 2,220.0,0.0,0.0,,"coordinates are (0, 0)"
44733,CODLING 3,CODLING 3,220.0,0.0,0.0,,"coordinates are (0, 0)"
4481,PORTLAOISE,PORTLAOISE,110.0,0.0,0.0,,"coordinates are (0, 0)"
4662,RATHCOBICAN,RATHCOBICAN,220.0,0.0,0.0,,"coordinates are (0, 0)"
4664,RATHCOBICAN,RATHCOBICAN,380.0,0.0,0.0,,"coordinates are (0, 0)"
4671,RAPPAREEHILL,RAPPAREEHILL,110.0,0.0,0.0,,"coordinates are (0, 0)"
4922,SOUTHBANK,SOUTHBANK,220.0,0.0,0.0,,"coordinates are (0, 0)"
4971,SHANONAGH,SHANONAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
50019,SOMRST T,SOMRST,110.0,0.0,0.0,,"coordinates are (0, 0)"
5051,SEAL ROCK,SEAL ROCK,110.0,0.0,0.0,,"coordinates are (0, 0)"
50619,STRATF T,STRATF,110.0,0.0,0.0,,"coordinates are (0, 0)"
5071,SEAL ROCK,SEAL ROCK,110.0,0.0,0.0,,"coordinates are (0, 0)"
51911,CROAGHONAGH,CROAGHONAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
52219,TULBRK T,TULBRK,110.0,0.0,0.0,,"coordinates are (0, 0)"
5251,TAWN_B,TAWN_B,110.0,0.0,0.0,,"coordinates are (0, 0)"
5331,YELLOWMEADOW,YELLOWMEADOW,110.0,0.0,0.0,,"coordinates are (0, 0)"
5351,TIMONEY,TIMONEY,110.0,0.0,0.0,,"coordinates are (0, 0)"
66096,UPPERCHURCH,UPPERCHURCH,110.0,0.0,0.0,,"coordinates are (0, 0)"
66121,ORIEL,ORIEL,220.0,0.0,0.0,,"coordinates are (0, 0)"
66122,ORIEL LANDIN,ORIEL LANDIN,220.0,0.0,0.0,,"coordinates are (0, 0)"
66123,ORIEL OFFSHO,ORIEL OFFSHO,220.0,0.0,0.0,,"coordinates are (0, 0)"
68090,KNOCKNAMONA,KNOCKNAMONA,110.0,0.0,0.0,,"coordinates are (0, 0)"
70111,AIRP,AIRP,110.0,0.0,0.0,,"coordinates are (0, 0)"
70112,AIRP1B,AIRP1,110.0,0.0,0.0,,"coordinates are (0, 0)"
72021,TBESS,TBESS,110.0,0.0,0.0,,"coordinates are (0, 0)"
73510,GARVAGH NI,GARVAGH NI,110.0,0.0,0.0,,"coordinates are (0, 0)"
75610,AUGHT,AUGHT,110.0,0.0,0.0,,"coordinates are (0, 0)"
