name,v_nom,psse_name,station,jurisdiction,geocode_method
5071,110.0,SEAL ROCK,SEAL ROCK,IE,
51911,110.0,CROAGHONAGH,CROAGHONAGH,IE,
52219,110.0,TULBRK T,TULBRK,IE,
5251,110.0,TAWN_B,TAWN_B,IE,
5331,110.0,YELLOWMEADOW,YELLOWMEADOW,IE,
5351,110.0,TIMONEY,TIMONEY,IE,
66096,110.0,UPPERCHURCH,UPPERCHURCH,IE,
66121,220.0,ORIEL,ORIEL,IE,
66122,220.0,ORIEL LANDIN,ORIEL LANDIN,IE,
66123,220.0,ORIEL OFFSHO,ORIEL OFFSHO,IE,
68090,110.0,KNOCKNAMONA,KNOCKNAMONA,IE,
70111,110.0,AIRP,AIRP,NI,
70112,110.0,AIRP1B,AIRP1,NI,
72021,110.0,TBESS,TBESS,NI,
73510,110.0,GARVAGH NI,GARVAGH NI,NI,
75610,110.0,AUGHT,AUGHT,NI,
75611,110.0,CULMORE_RD,CULMORE_RD,NI,
76513,110.0,DONE1D,DONE1D,NI,
77010,110.0,DRUM1-,DRUM1,NI,
77211,110.0,CURR_WF,CURR_WF,NI,
77212,110.0,WIND_PT,WIND_PT,NI,
79510,110.0,CAM,CAM,NI,
80511,110.0,GLEN1A,GLEN1,NI,
80512,110.0,GLEN1B,GLEN1,NI,
81031,110.0,COLINGLEN_BE,COLINGLEN_BE,NI,
81512,110.0,KELL_WIND2,KELL_WIND2,NI,
81810,110.0,KILL1-CL,KILL1-CL,NI,
85510,110.0,MAKL1-CL,MAKL1-CL,NI,
86221,275.0,SCOTLAND,SCOTLAND,NI,
87900,110.0,RASHARK1,RASHARK1,NI,
87901,110.0,T_GOWANGIS,T_GOWANGIS,NI,
89210,110.0,SKRK1-,SKRK1,NI,
90210,110.0,TREM,TREM,NI,
GB_EWIC,260.0,EWIC far terminal,EWIC,XX,
GB_GREENLINK,150.0,Greenlink far terminal,GREENLINK,XX,
star:1072-1041-10421-2,220.0,star of 1072-1041-10421-2,STAR,--,
star:1122-1121-11221-1,220.0,star of 1122-1121-11221-1,STAR,--,
star:1122-1121-11222-2,220.0,star of 1122-1121-11222-2,STAR,--,
star:1212-1211-12121-1,220.0,star of 1212-1211-12121-1,STAR,--,
star:1212-12111-12122-2,220.0,star of 1212-12111-12122-2,STAR,--,
star:1244-1243-12402-1,380.0,star of 1244-1243-12402-1,STAR,--,
star:1472-1471-14721-1,220.0,star of 1472-1471-14721-1,STAR,--,
star:1472-1471-14722-2,220.0,star of 1472-1471-14722-2,STAR,--,
star:1474-1472-14723-1,380.0,star of 1474-1472-14723-1,STAR,--,
star:1602-1601-16022-1,220.0,star of 1602-1601-16022-1,STAR,--,
star:1602-16011-16021-1,220.0,star of 1602-16011-16021-1,STAR,--,
star:1642-1641-16421-1,220.0,star of 1642-1641-16421-1,STAR,--,
star:1642-1641-16422-2,220.0,star of 1642-1641-16422-2,STAR,--,
star:1642-16411-16424-4,220.0,star of 1642-16411-16424-4,STAR,--,
star:1742-1741-17421-1,220.0,star of 1742-1741-17421-1,STAR,--,
star:1742-1741-17422-2,220.0,star of 1742-1741-17422-2,STAR,--,
star:1742-17411-17423-3,220.0,star of 1742-17411-17423-3,STAR,--,
star:1742-17411-17424-4,220.0,star of 1742-17411-17424-4,STAR,--,
star:2002-2001-20021-1,220.0,star of 2002-2001-20021-1,STAR,--,
star:2042-2041-20421-1,220.0,star of 2042-2041-20421-1,STAR,--,
star:2042-20416-20424-4,220.0,star of 2042-20416-20424-4,STAR,--,
star:2052-2041-20422-2,220.0,star of 2052-2041-20422-2,STAR,--,
star:2204-2202-22021-1,380.0,star of 2204-2202-22021-1,STAR,--,
star:2204-2202-22022-2,380.0,star of 2204-2202-22022-2,STAR,--,
star:2204-2212-22023-3,380.0,star of 2204-2212-22023-3,STAR,--,
star:2522-2521-25221-1,220.0,star of 2522-2521-25221-1,STAR,--,
star:2522-2521-25222-2,220.0,star of 2522-2521-25222-2,STAR,--,
star:2562-2561-25621-1,220.0,star of 2562-2561-25621-1,STAR,--,
star:2562-2571-25622-2,220.0,star of 2562-2571-25622-2,STAR,--,
star:2563-2561-25624-4,220.0,star of 2563-2561-25624-4,STAR,--,
star:2563-2571-25625-5,220.0,star of 2563-2571-25625-5,STAR,--,
star:2742-2741-27421-1,220.0,star of 2742-2741-27421-1,STAR,--,
star:2742-2741-27422-2,220.0,star of 2742-2741-27422-2,STAR,--,
star:2842-2841-28421-1,220.0,star of 2842-2841-28421-1,STAR,--,
star:3082-3081-30822-2,220.0,star of 3082-3081-30822-2,STAR,--,
star:3082-3091-30824-4,220.0,star of 3082-3091-30824-4,STAR,--,
star:30820-3081-30821-1,220.0,star of 30820-3081-30821-1,STAR,--,
star:30820-3091-30826-3,220.0,star of 30820-3091-30826-3,STAR,--,
star:3192-3191-31922-1,220.0,star of 3192-3191-31922-1,STAR,--,
star:3192-31911-31927-2,220.0,star of 3192-31911-31927-2,STAR,--,
star:3202-3201-32021-1,220.0,star of 3202-3201-32021-1,STAR,--,
star:3203-3209-32022-2,220.0,star of 3203-3209-32022-2,STAR,--,
star:3204-3202-32081-1,380.0,star of 3204-3202-32081-1,STAR,--,
star:3282-3281-32823-3,220.0,star of 3282-3281-32823-3,STAR,--,
star:3282-32810-32824-4,220.0,star of 3282-32810-32824-4,STAR,--,
star:3332-3331-33321-1,220.0,star of 3332-3331-33321-1,STAR,--,
star:3332-3331-33323-3,220.0,star of 3332-3331-33323-3,STAR,--,
star:3342-3341-33421-1,220.0,star of 3342-3341-33421-1,STAR,--,
star:3342-3341-33422-2,220.0,star of 3342-3341-33422-2,STAR,--,
star:3462-3461-34621-1,220.0,star of 3462-3461-34621-1,STAR,--,
star:3462-3461-34622-2,220.0,star of 3462-3461-34622-2,STAR,--,
star:3464-3462-34641-1,380.0,star of 3464-3462-34641-1,STAR,--,
star:3472-3471-34721-1,220.0,star of 3472-3471-34721-1,STAR,--,
star:3472-3471-34722-2,220.0,star of 3472-3471-34722-2,STAR,--,
star:3472-3471-34723-3,220.0,star of 3472-3471-34723-3,STAR,--,
star:3472-3471-34724-4,220.0,star of 3472-3471-34724-4,STAR,--,
star:3522-3521-35221-1,220.0,star of 3522-3521-35221-1,STAR,--,
star:3522-3521-35223-3,220.0,star of 3522-3521-35223-3,STAR,--,
star:3522-35211-35222-2,220.0,star of 3522-35211-35222-2,STAR,--,
star:3522-35211-35224-4,220.0,star of 3522-35211-35224-4,STAR,--,
star:3522-35231-35236-1,220.0,star of 3522-35231-35236-1,STAR,--,
star:3522-35231-35238-3,220.0,star of 3522-35231-35238-3,STAR,--,
star:3522-35232-35237-2,220.0,star of 3522-35232-35237-2,STAR,--,
star:3554-3550-35542-2,380.0,star of 3554-3550-35542-2,STAR,--,
star:3554-3551-35541-1,380.0,star of 3554-3551-35541-1,STAR,--,
star:3642-3641-36421-1,220.0,star of 3642-3641-36421-1,STAR,--,
star:3842-3851-38423-3,220.0,star of 3842-3851-38423-3,STAR,--,
star:3842-3851-38424-4,220.0,star of 3842-3851-38424-4,STAR,--,
star:3852-3841-38421-1,220.0,star of 3852-3841-38421-1,STAR,--,
star:3852-3841-38422-2,220.0,star of 3852-3841-38422-2,STAR,--,
star:3934-3942-39402-1,380.0,star of 3934-3942-39402-1,STAR,--,
star:3940-3941-39423-1,220.0,star of 3940-3941-39423-1,STAR,--,
star:3954-3942-39421-2,380.0,star of 3954-3942-39421-2,STAR,--,
star:4384-4382-43821-1,380.0,star of 4384-4382-43821-1,STAR,--,
star:4472-4461-44623-3,220.0,star of 4472-4461-44623-3,STAR,--,
star:4472-4471-44624-4,220.0,star of 4472-4471-44624-4,STAR,--,
